id,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1,FDT36,12.3,Low Fat,0.111448,Baking Goods,33.4874,OUT049,1999,Medium,Tier 1,Supermarket Type1,436.609
2,FDT36,12.3,Low Fat,0.111904,Baking Goods,33.9874,OUT017,2007,Medium,Tier 2,Supermarket Type1,443.128
3,FDT36,12.3,LF,0.111728,Baking Goods,33.9874,OUT018,2009,Medium,Tier 3,Supermarket Type2,564.598
4,FDT36,12.3,Low Fat,0.0,Baking Goods,34.3874,OUT019,1985,Small,Tier 1,Grocery Store,1719.37
5,FDP12,9.8,Regular,0.0455229,Baking Goods,35.0874,OUT017,2007,Medium,Tier 2,Supermarket Type1,352.874
6,FDT36,12.3,Low Fat,0.111275,Baking Goods,35.0874,OUT046,1997,Small,Tier 1,Supermarket Type1,458.736
7,FDQ36,7.855,Regular,0.161413,Baking Goods,35.2848,OUT013,1987,High,Tier 3,Supermarket Type1,299.335
8,FDT36,7.855,Low Fat,0.110736,Baking Goods,35.2874,OUT027,1985,Medium,Tier 3,Supermarket Type3,988.047
9,FDQ36,7.855,Regular,0.161875,Baking Goods,35.6848,OUT045,2002,Small,Tier 2,Supermarket Type1,335.563
10,FDT36,12.3,Low Fat,0.1115,Baking Goods,35.6874,OUT045,2002,Small,Tier 2,Supermarket Type1,846.898
11,FDP12,9.8,Regular,0.0452582,Baking Goods,35.9874,OUT035,2004,Small,Tier 2,Supermarket Type1,282.299
12,FDT36,12.3,Low Fat,0.111254,Baking Goods,36.0874,OUT035,2004,Small,Tier 2,Supermarket Type1,483.824
13,FDP12,9.8,Regular,0.0453586,Baking Goods,36.1874,OUT045,2002,Small,Tier 2,Supermarket Type1,423.449
14,FDQ36,7.855,Regular,0.162206,Baking Goods,36.2848,OUT018,2009,Medium,Tier 3,Supermarket Type2,1155.83
15,FDP12,9.8,Regular,0.0454512,Baking Goods,36.2874,OUT018,2009,Medium,Tier 3,Supermarket Type2,384.066
16,FDP12,5.765,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,809.974
17,FDW23,5.765,Low Fat,0.081944,Baking Goods,36.7164,OUT013,1987,High,Tier 3,Supermarket Type1,849.561
18,FDP12,9.8,Regular,0.0453372,Baking Goods,36.8874,OUT049,1999,Medium,Tier 1,Supermarket Type1,564.598
19,FDP12,9.8,Regular,0.0452668,Baking Goods,36.9874,OUT046,1997,Small,Tier 1,Supermarket Type1,705.748
20,FDW23,5.765,Low Fat,0.0821786,Baking Goods,37.0164,OUT045,2002,Small,Tier 2,Supermarket Type1,540.63
21,FDQ36,7.855,Regular,0.161517,Baking Goods,37.0848,OUT035,2004,Small,Tier 2,Supermarket Type1,447.418
22,FDP12,9.8,Regular,0.0452291,Baking Goods,37.1874,OUT013,1987,High,Tier 3,Supermarket Type1,386.303
23,FDW23,5.765,Low Fat,0.0821398,Baking Goods,37.2164,OUT049,1999,Medium,Tier 1,Supermarket Type1,579.246
24,FDQ36,7.855,Regular,0.161799,Baking Goods,37.2848,OUT049,1999,Medium,Tier 1,Supermarket Type1,745.696
25,FDT36,12.3,Low Fat,0.186251,Baking Goods,37.2874,OUT010,1998,Medium,Tier 3,Grocery Store,176.437
26,FDT36,12.3,Low Fat,0.0,Baking Goods,37.2874,OUT013,1987,High,Tier 3,Supermarket Type1,705.748
27,FDW23,12.3,Low Fat,0.143593,Baking Goods,37.3164,OUT019,1985,Small,Tier 1,Grocery Store,38.6164
28,FDW23,5.765,Low Fat,0.0820123,Baking Goods,37.5164,OUT046,1997,Small,Tier 1,Supermarket Type1,656.479
29,FDQ36,7.855,Regular,0.0,Baking Goods,38.1848,OUT019,1985,Small,Tier 1,Grocery Store,37.2848
30,FDQ36,7.855,Regular,0.0,Baking Goods,38.3848,OUT046,1997,Small,Tier 1,Supermarket Type1,932.12
31,FDW23,5.765,Low Fat,0.0816151,Baking Goods,38.6164,OUT027,1985,Medium,Tier 3,Supermarket Type3,473.152
